ref,word,num,dep,label,dep2,label2
22b.162,koh'uuhu'.,1,,,,
22b.163,yeah.,1,,,,
22b.163,Koh'uuhu'.,2,,,,
22b.164,heetbii'owoo3eino'.,1,,,,
22b.165,"heetbii'owoo3eino',",1,,,,
22b.165,yeah.,2,,,,
22b.166,yeah.,1,,,,
22b.167,noosoutounowuni',1,,,,
22b.167,beenhehe',2,,,,
22b.167,you,3,,,,
22b.167,know.,4,,,,
22b.168,"Neenei'P,",1,,,,
22b.168,heeneecxooyeihino',2,,,,
22b.168,you,3,,,,
22b.168,know.,4,,,,
22b.169,Neene'inowu',1,,,,
22b.169,neeneisiini,2,,,,
22b.169,nih'eenetiitooni',3,,,,
22b.169,"teecxo',",4,,,,
22b.169,hosei3iihi'.,5,,,,
22b.170,'oh,1,,,,
22b.170,wootii,2,,,,
22b.170,"cesisheniheihiinoo',",3,,,,
22b.170,woowuuno.,4,,,,
22b.171,wootii,1,,,,
22b.171,"nih'iisinihiinoo,",2,,,,
22b.171,nihi'neehohookoo'oo',3,,,,
22b.171,hiiwoonhehe'.,4,,,,
22b.172,Hiihooweeteenee3eino',1,,,,
22b.172,neniteeno',2,,,,
22b.173,"yeah,",1,,,,
22b.173,hiihooweeteeneetowuu,2,,,,
22b.173,XXX,3,,,,
22b.174,yeah,1,,,,
22b.174,"hoowooh'uni,",2,,,,
22b.174,yeah.,3,,,,
22b.175,nuhu',1,,,,
22b.175,niicebkoohuutii3i',2,,,,
22b.175,nuhu',3,,,,
22b.175,woxu'uu:,4,,,,
22b.176,Woow,1,,,,
22b.176,hooweeneeteeneetowuu.,2,,,,
22b.177,yeah.,1,,,,
22b.178,hoo3oo'o',1,,,,
22b.178,hiini'P,2,,,,
22b.178,'oh,3,,,,
22b.178,hoowuuni.,4,,,,
22b.179,yeah.,1,,,,
22b.180,hiihoowoohnee'eestootiin,1,,,,
22b.180,"woow,",2,,,,
22b.180,nih'iinee'eestoo3i',3,,,,
22b.180,nuhu',4,,,,
22b.180,woxu'uu,5,,,,
22b.180,nenii3inou'u.,6,,,,
22b.181,yeah.,1,,,,
22b.182,hiikoot,1,,,,
22b.182,they,2,,,,
22b.182,"would,",3,,,,
22b.182,they,4,,,,
22b.182,would,5,,,,
22b.182,"ahh,",6,,,,
22b.182,how,7,,,,
22b.182,do,8,,,,
22b.182,you,9,,,,
22b.182,say,10,,,,
22b.182,it,11,,,,
22b.182,"now,",12,,,,
22b.182,totoubeihi3i',13,,,,
22b.182,"hiit,",14,,,,
22b.182,Neesnoneenoo'oohohkoni'.,15,,,,
22b.183,"niineyeihtotoubeihiiho',",1,,,,
22b.183,niineyeiheenei'towuunei3i'.,2,,,,
22b.184,Xouuwuuhu':,1,,,,
22b.184,hoowuuni.,2,,,,
22b.185,hoowuuni.,1,,,,
22b.186,Siihoowuceh'e3tiino'.,1,,,,
22b.187,yeah.,1,,,,
22b.188,Wootii,1,,,,
22b.188,niibesiitenou'u,2,,,,
22b.188,wootii,3,,,,
22b.188,ni'ii3i'.,4,,,,
22b.189,niibesP,1,,,,
22b.189,niibesiitenou'u.,2,,,,
22b.190,yeah.,1,,,,
22b.190,Yeah.,2,,,,
22b.191,neneenit,1,,,,
22b.191,"nihnih'oubeinoo,",2,,,,
22b.191,"hinee,",3,,,,
22b.191,ni'ii3i'.,4,,,,
22b.192,yeah.,1,,,,
22b.193,'oh,1,,,,
22b.193,hoowuuni:,2,,,,
